Merit,Department
1,Dept. of Pharmacy
2,Dept. of Genetic Engineering and Biotechnology
4,Dept. of Pharmacy
6,Dept. of Pharmacy
8,Dept. of Pharmacy
11,Dept. of Pharmacy
12,Dept. of Pharmacy
14,Dept. of Pharmacy
15,Dept. of Pharmacy
16,Dept. of Pharmacy
21,Dept. of Computer Science and Engineering
22,Dept. of Pharmacy
24,Dept. of Computer Science and Engineering
26,Dept. of Pharmacy
29,Dept. of Genetic Engineering and Biotechnology
34,Dept. of Pharmacy
35,Dept. of Genetic Engineering and Biotechnology
36,Dept. of Pharmacy
37,Dept. of Computer Science and Engineering
39,Dept. of Pharmacy
40,Dept. of Pharmacy
44,Dept. of Pharmacy
45,Dept. of Genetic Engineering and Biotechnology
46,Dept. of Genetic Engineering and Biotechnology
47,Dept. of Computer Science and Engineering
49,Dept. of Pharmacy
50,Dept. of Computer Science and Engineering
53,Dept. of Genetic Engineering and Biotechnology
55,Dept. of Pharmacy
60,Dept. of Pharmacy
61,Dept. of Pharmacy
62,Dept. of Applied Chemistry and Chemical Engineering
65,Dept. of Computer Science and Engineering
67,Dept. of Pharmacy
68,Dept. of Computer Science and Engineering
69,Dept. of Pharmacy
70,Dept. of Pharmacy
71,Dept. of Pharmacy
72,Dept. of Pharmacy
73,Dept. of Pharmacy
75,Dept. of Pharmacy
76,Dept. of Pharmacy
78,Dept. of Computer Science and Engineering
79,Dept. of Pharmacy
82,Dept. of Pharmacy
83,Dept. of Genetic Engineering and Biotechnology
84,Dept. of Genetic Engineering and Biotechnology
85,Dept. of Genetic Engineering and Biotechnology
87,Dept. of Computer Science and Engineering
90,Dept. of Computer Science and Engineering
91,Dept. of Genetic Engineering and Biotechnology
94,Dept. of Genetic Engineering and Biotechnology
97,Dept. of Microbiology
98,Dept. of Genetic Engineering and Biotechnology
99,Dept. of Biochemistry and Molecular Biology
100,Dept. of Genetic Engineering and Biotechnology
102,Dept. of Biochemistry and Molecular Biology
105,Dept. of Genetic Engineering and Biotechnology
107,Dept. of Computer Science and Engineering
109,Dept. of Biochemistry and Molecular Biology
110,Dept. of Biochemistry and Molecular Biology
111,Dept. of Genetic Engineering and Biotechnology
112,Dept. of Genetic Engineering and Biotechnology
113,Dept. of Computer Science and Engineering
114,Dept. of Computer Science and Engineering
116,Dept. of Genetic Engineering and Biotechnology
117,Dept. of Biochemistry and Molecular Biology
120,Dept. of Applied Chemistry and Chemical Engineering
121,Dept. of Genetic Engineering and Biotechnology
122,Dept. of Genetic Engineering and Biotechnology
123,Dept. of Biochemistry and Molecular Biology
127,Dept. of Biochemistry and Molecular Biology
128,Dept. of Computer Science and Engineering
131,Dept. of Biochemistry and Molecular Biology
134,Dept. of Genetic Engineering and Biotechnology
136,Dept. of Genetic Engineering and Biotechnology
137,Dept. of Computer Science and Engineering
138,Dept. of Genetic Engineering and Biotechnology
139,Dept. of Genetic Engineering and Biotechnology
140,Dept. of Genetic Engineering and Biotechnology
141,Dept. of Biochemistry and Molecular Biology
145,Dept. of Biochemistry and Molecular Biology
146,Dept. of Computer Science and Engineering
147,Dept. of Computer Science and Engineering
148,Dept. of Computer Science and Engineering
149,Dept. of Genetic Engineering and Biotechnology
152,Dept. of Computer Science and Engineering
155,Dept. of Computer Science and Engineering
156,Dept. of Biochemistry and Molecular Biology
158,Dept. of Biochemistry and Molecular Biology
160,Dept. of Genetic Engineering and Biotechnology
163,Dept. of Computer Science and Engineering
164,Dept. of Biochemistry and Molecular Biology
165,Dept. of Biochemistry and Molecular Biology
167,Dept. of Computer Science and Engineering
171,Dept. of Genetic Engineering and Biotechnology
175,Dept. of Genetic Engineering and Biotechnology
176,Dept. of Biochemistry and Molecular Biology
177,Dept. of Computer Science and Engineering
184,Dept. of Genetic Engineering and Biotechnology
185,Dept. of Computer Science and Engineering
186,Dept. of Computer Science and Engineering
188,Dept. of Microbiology
190,Dept. of Computer Science and Engineering
193,Dept. of Genetic Engineering and Biotechnology
195,Dept. of Computer Science and Engineering
198,Dept. of Computer Science and Engineering
201,Dept. of Genetic Engineering and Biotechnology
202,Dept. of Genetic Engineering and Biotechnology
205,Dept. of Biochemistry and Molecular Biology
206,Dept. of Biochemistry and Molecular Biology
208,Dept. of Biochemistry and Molecular Biology
209,Dept. of Chemistry
210,Dept. of Computer Science and Engineering
212,Dept. of Genetic Engineering and Biotechnology
214,Dept. of Computer Science and Engineering
217,Dept. of Biochemistry and Molecular Biology
218,Dept. of Computer Science and Engineering
219,Dept. of Biochemistry and Molecular Biology
220,Dept. of Computer Science and Engineering
221,Dept. of Computer Science and Engineering
222,Dept. of Applied Chemistry and Chemical Engineering
223,Dept. of Computer Science and Engineering
224,Dept. of Biochemistry and Molecular Biology
226,Dept. of Computer Science and Engineering
228,Dept. of Genetic Engineering and Biotechnology
229,Dept. of Genetic Engineering and Biotechnology
231,Dept. of Applied Chemistry and Chemical Engineering
233,Dept. of Computer Science and Engineering
236,Dept. of Biochemistry and Molecular Biology
237,Dept. of Biochemistry and Molecular Biology
238,Dept. of Computer Science and Engineering
239,Dept. of Computer Science and Engineering
241,Dept. of Biochemistry and Molecular Biology
242,Dept. of Biochemistry and Molecular Biology
245,Dept. of Computer Science and Engineering
246,Dept. of Biochemistry and Molecular Biology
247,Dept. of Biochemistry and Molecular Biology
251,Dept. of Biochemistry and Molecular Biology
255,Dept. of Computer Science and Engineering
256,Dept. of Computer Science and Engineering
257,Dept. of Computer Science and Engineering
258,Dept. of Computer Science and Engineering
259,Dept. of Computer Science and Engineering
260,Dept. of Computer Science and Engineering
261,Dept. of Applied Chemistry and Chemical Engineering
262,Dept. of Computer Science and Engineering
266,Dept. of Computer Science and Engineering
267,Dept. of Biochemistry and Molecular Biology
269,Dept. of Applied Chemistry and Chemical Engineering
270,Dept. of Biochemistry and Molecular Biology
272,Dept. of Applied Chemistry and Chemical Engineering
274,Dept. of Computer Science and Engineering
275,Dept. of Computer Science and Engineering
276,Dept. of Computer Science and Engineering
278,Dept. of Biochemistry and Molecular Biology
279,Dept. of Biochemistry and Molecular Biology
281,Dept. of Microbiology
282,Dept. of Biochemistry and Molecular Biology
284,Dept. of Biochemistry and Molecular Biology
286,Dept. of Biochemistry and Molecular Biology
288,Dept. of Applied Chemistry and Chemical Engineering
290,Dept. of Biochemistry and Molecular Biology
291,Dept. of Biochemistry and Molecular Biology
292,Dept. of Computer Science and Engineering
293,Dept. of Biochemistry and Molecular Biology
295,Dept. of Biochemistry and Molecular Biology
301,Dept. of Biochemistry and Molecular Biology
302,Dept. of Microbiology
303,Dept. of Computer Science and Engineering
304,Dept. of Applied Chemistry and Chemical Engineering
305,Dept. of Computer Science and Engineering
306,Dept. of Computer Science and Engineering
307,Dept. of Computer Science and Engineering
308,Dept. of Microbiology
310,Dept. of Computer Science and Engineering
311,Dept. of Microbiology
313,Dept. of Microbiology
321,Dept. of Computer Science and Engineering
324,Dept. of Computer Science and Engineering
326,Dept. of Microbiology
330,Dept. of Microbiology
331,Dept. of Applied Chemistry and Chemical Engineering
332,Dept. of Microbiology
335,Dept. of Microbiology
338,Dept. of Computer Science and Engineering
340,Dept. of Microbiology
343,Dept. of Microbiology
344,Dept. of Computer Science and Engineering
345,Dept. of Applied Chemistry and Chemical Engineering
346,Dept. of Microbiology
348,Dept. of Computer Science and Engineering
351,Dept. of Computer Science and Engineering
352,Dept. of Microbiology
355,Dept. of Computer Science and Engineering
356,Dept. of Microbiology
357,Dept. of Microbiology
360,Dept. of Computer Science and Engineering
361,Dept. of Microbiology
363,Dept. of Applied Chemistry and Chemical Engineering
365,Dept. of Computer Science and Engineering
367,Dept. of Microbiology
368,Dept. of Microbiology
369,Dept. of Microbiology
371,Dept. of Microbiology
372,Dept. of Microbiology
376,Dept. of Applied Chemistry and Chemical Engineering
377,Dept. of Microbiology
379,Dept. of Applied Chemistry and Chemical Engineering
380,Dept. of Applied Chemistry and Chemical Engineering
384,Dept. of Microbiology
386,Dept. of Microbiology
387,Dept. of Microbiology
396,Dept. of Applied Chemistry and Chemical Engineering
399,Dept. of Applied Chemistry and Chemical Engineering
400,Dept. of Applied Chemistry and Chemical Engineering
401,Dept. of Microbiology
405,Dept. of Microbiology
407,Dept. of Microbiology
410,Dept. of Microbiology
412,Dept. of Microbiology
413,Dept. of Microbiology
418,Dept. of Microbiology
419,Dept. of Microbiology
420,Dept. of Microbiology
421,Dept. of Microbiology
422,Dept. of Microbiology
424,Dept. of Applied Chemistry and Chemical Engineering
425,Dept. of Applied Chemistry and Chemical Engineering
426,Dept. of Applied Chemistry and Chemical Engineering
428,Dept. of Microbiology
429,Dept. of Applied Chemistry and Chemical Engineering
430,Dept. of Microbiology
431,Dept. of Applied Chemistry and Chemical Engineering
433,Dept. of Applied Chemistry and Chemical Engineering
434,Dept. of Applied Chemistry and Chemical Engineering
436,Dept. of Applied Chemistry and Chemical Engineering
437,Dept. of Applied Chemistry and Chemical Engineering
440,Dept. of Applied Chemistry and Chemical Engineering
442,Dept. of Applied Chemistry and Chemical Engineering
443,Dept. of Applied Chemistry and Chemical Engineering
448,Institute of Marine Sciences
451,Dept. of Chemistry
452,Dept. of Chemistry
455,Dept. of Chemistry
456,Dept. of Chemistry
457,Dept. of Forestry
459,Dept. of Mathematics
460,Dept. of Chemistry
462,Dept. of Chemistry
463,Dept. of Chemistry
464,Dept. of Chemistry
465,Dept. of Mathematics
467,Dept. of Forestry
470,Dept. of Chemistry
473,Dept. of Electrical and Electronic Engineering
474,Dept. of Chemistry
476,Dept. of Chemistry
478,Dept. of Psychology
479,Dept. of Chemistry
482,Dept. of Statistics
484,Dept. of Environmental Science
486,Dept. of Zoology
487,Dept. of Chemistry
488,Dept. of Chemistry
490,Dept. of Chemistry
492,Dept. of Chemistry
495,Dept. of Mathematics
497,Dept. of Chemistry
498,Dept. of Chemistry
499,Dept. of Chemistry
500,Dept. of Chemistry
503,Dept. of Chemistry
504,Dept. of Chemistry
506,Dept. of Chemistry
510,Dept. of Electrical and Electronic Engineering
512,Dept. of Chemistry
513,Dept. of Chemistry
514,Dept. of Chemistry
515,Institute of Marine Sciences
517,Dept. of Chemistry
518,Dept. of Physics
520,Dept. of Chemistry
521,Dept. of Chemistry
524,Dept. of Chemistry
528,Dept. of Chemistry
531,Dept. of Chemistry
534,Dept. of Forestry
535,Dept. of Chemistry
538,Dept. of Chemistry
539,Dept. of Chemistry
540,Dept. of Chemistry
541,Dept. of Chemistry
542,Dept. of Chemistry
543,Dept. of Chemistry
544,Dept. of Forestry
545,Dept. of Environmental Science
547,Dept. of Chemistry
548,Dept. of Chemistry
549,Dept. of Chemistry
550,Dept. of Chemistry
552,Institute of Marine Sciences
555,Dept. of Chemistry
556,Dept. of Chemistry
559,Dept. of Chemistry
561,Dept. of Chemistry
563,Dept. of Chemistry
564,Institute of Marine Sciences
565,Dept. of Chemistry
566,Dept. of Physics
568,Dept. of Chemistry
570,Dept. of Chemistry
571,Dept. of Chemistry
576,Dept. of Forestry
577,Dept. of Chemistry
578,Dept. of Chemistry
579,Dept. of Chemistry
580,Dept. of Chemistry
583,Dept. of Chemistry
584,Dept. of Chemistry
590,Dept. of Chemistry
593,Institute of Marine Sciences
595,Dept. of Chemistry
596,Dept. of Zoology
598,Dept. of Mathematics
601,Dept. of Chemistry
602,Dept. of Chemistry
608,Dept. of Chemistry
609,Dept. of Chemistry
610,Dept. of Chemistry
611,Dept. of Chemistry
612,Dept. of Chemistry
613,Dept. of Chemistry
615,Dept. of Chemistry
616,Dept. of Chemistry
617,Dept. of Chemistry
620,Dept. of Chemistry
622,Dept. of Chemistry
623,Dept. of Chemistry
625,Dept. of Chemistry
628,Institute of Marine Sciences
629,Institute of Marine Sciences
632,Dept. of Chemistry
633,Dept. of Fisheries
638,Dept. of Chemistry
640,Dept. of Chemistry
641,Dept. of Chemistry
642,Dept. of Statistics
644,Dept. of Chemistry
645,Dept. of Chemistry
648,Dept. of Chemistry
649,Dept. of Chemistry
650,Dept. of Chemistry
652,Dept. of Chemistry
653,Dept. of Forestry
654,Dept. of Psychology
656,Dept. of Fisheries
657,Dept. of Forestry
661,Dept. of Chemistry
662,Dept. of Chemistry
665,Dept. of Physics
666,Dept. of Fisheries
670,Dept. of Chemistry
672,Dept. of Chemistry
673,Dept. of Chemistry
676,Dept. of Chemistry
677,Dept. of Chemistry
679,Dept. of Mathematics
680,Dept. of Chemistry
681,Dept. of Chemistry
682,Dept. of Chemistry
684,Dept. of Chemistry
688,Dept. of Physics
690,Dept. of Statistics
691,Dept. of Chemistry
693,Dept. of Chemistry
694,Dept. of Chemistry
695,Dept. of Chemistry
696,Dept. of Mathematics
697,Dept. of Chemistry
698,Dept. of Physics
699,Dept. of Chemistry
700,Dept. of Chemistry
701,Dept. of Chemistry
702,Dept. of Chemistry
708,Dept. of Chemistry
709,Dept. of Chemistry
711,Dept. of Chemistry
712,Dept. of Chemistry
713,Dept. of Forestry
714,Dept. of Fisheries
716,Dept. of Mathematics
723,Dept. of Statistics
724,Dept. of Statistics
725,Dept. of Forestry
726,Dept. of Environmental Science
727,Dept. of Physics
731,Dept. of Electrical and Electronic Engineering
732,Dept. of Electrical and Electronic Engineering
739,Dept. of Physics
748,Dept. of Mathematics
749,Dept. of Fisheries
750,Dept. of Mathematics
751,Dept. of Physics
756,Institute of Marine Sciences
759,Dept. of Physics
763,Dept. of Mathematics
764,Dept. of Physics
770,Dept. of Soil Science
771,Dept. of Forestry
772,Dept. of Statistics
774,Dept. of Forestry
777,Dept. of Physics
778,Dept. of Statistics
780,Dept. of Mathematics
782,Dept. of Mathematics
789,Dept. of Forestry
791,Dept. of Forestry
792,Dept. of Forestry
793,Dept. of Forestry
795,Institute of Marine Sciences
796,Dept. of Physics
797,Dept. of Statistics
800,Dept. of Fisheries
801,Institute of Marine Sciences
802,Dept. of Mathematics
803,Dept. of Mathematics
805,Dept. of Fisheries
806,Dept. of Forestry
809,Dept. of Mathematics
810,Dept. of Forestry
813,Dept. of Fisheries
814,Dept. of Mathematics
815,Dept. of Fisheries
816,Dept. of Mathematics
818,Dept. of Physics
819,Dept. of Statistics
822,Dept. of Forestry
823,Dept. of Physics
824,Dept. of Physics
827,Dept. of Forestry
828,Institute of Marine Sciences
829,Dept. of Forestry
830,Dept. of Soil Science
832,Dept. of Mathematics
833,Dept. of Mathematics
835,Dept. of Forestry
837,Institute of Marine Sciences
839,Dept. of Physics
841,Dept. of Mathematics
843,Dept. of Environmental Science
844,Dept. of Electrical and Electronic Engineering
847,Dept. of Forestry
850,Dept. of Physics
856,Dept. of Soil Science
857,Dept. of Zoology
858,Dept. of Forestry
864,Dept. of Forestry
872,Dept. of Mathematics
873,Dept. of Psychology
874,Dept. of Forestry
875,Dept. of Physics
876,Dept. of Physics
877,Dept. of Physics
879,Dept. of Mathematics
880,Dept. of Statistics
881,Dept. of Mathematics
882,Dept. of Mathematics
883,Dept. of Fisheries
885,Institute of Marine Sciences
887,Dept. of Mathematics
888,Dept. of Fisheries
890,Dept. of Fisheries
891,Dept. of Environmental Science
893,Dept. of Physics
894,Dept. of Statistics
895,Dept. of Forestry
897,Dept. of Fisheries
898,Dept. of Physics
900,Dept. of Physics
909,Institute of Marine Sciences
910,Dept. of Statistics
912,Dept. of Physics
914,Dept. of Fisheries
915,Dept. of Forestry
916,Dept. of Environmental Science
919,Dept. of Physics
921,Dept. of Physics
923,Dept. of Mathematics
925,Dept. of Physics
926,Dept. of Statistics
929,Dept. of Statistics
931,Dept. of Botany
934,Dept. of Fisheries
938,Dept. of Forestry
940,Dept. of Forestry
941,Dept. of Mathematics
942,Dept. of Forestry
945,Dept. of Mathematics
950,Dept. of Statistics
952,Dept. of Fisheries
953,Institute of Marine Sciences
954,Dept. of Zoology
957,Dept. of Physics
963,Dept. of Forestry
964,Dept. of Forestry
966,Institute of Marine Sciences
967,Dept. of Mathematics
968,Dept. of Forestry
969,Dept. of Mathematics
972,Dept. of Statistics
973,Dept. of Statistics
974,Dept. of Environmental Science
975,Dept. of Electrical and Electronic Engineering
976,Dept. of Forestry
978,Institute of Marine Sciences
979,Dept. of Forestry
980,Dept. of Forestry
981,Dept. of Physics
983,Dept. of Statistics
984,Dept. of Statistics
985,Dept. of Forestry
991,Dept. of Mathematics
992,Dept. of Forestry
993,Dept. of Mathematics
995,Dept. of Forestry
996,Dept. of Forestry
997,Dept. of Environmental Science
1000,Dept. of Fisheries
1001,Dept. of Electrical and Electronic Engineering
1003,Dept. of Environmental Science
1004,Dept. of Statistics
1005,Dept. of Statistics
1006,Dept. of Environmental Science
1007,Dept. of Geography and Environmental Studies
1010,Dept. of Psychology
1011,Institute of Marine Sciences
1012,Dept. of Fisheries
1014,Dept. of Physics
1016,Institute of Marine Sciences
1017,Dept. of Physics
1018,Dept. of Statistics
1019,Dept. of Physics
1020,Dept. of Mathematics
1021,Dept. of Environmental Science
1029,Dept. of Environmental Science
1034,Dept. of Physics
1041,Institute of Marine Sciences
1042,Dept. of Physics
1044,Dept. of Soil Science
1045,Dept. of Fisheries
1046,Institute of Marine Sciences
1048,Dept. of Mathematics
1049,Dept. of Statistics
1052,Dept. of Fisheries
1054,Dept. of Environmental Science
1055,Dept. of Fisheries
1056,Dept. of Physics
1061,Dept. of Fisheries
1062,Institute of Marine Sciences
1063,Dept. of Zoology
1064,Dept. of Mathematics
1065,Dept. of Mathematics
1066,Dept. of Environmental Science
1068,Dept. of Environmental Science
1069,Dept. of Physics
